"order_id","product_id","quantity"
"0","5","2"
"0","70","2"
"0","84","1"
"1","20","3"
"2","17","3"
"2","89","1"
"2","91","1"
"3","5","3"
"3","35","3"
"3","81","1"
"3","87","3"
"3","99","2"
"4","10","3"
"4","16","3"
"4","77","3"
"4","86","3"
"4","96","1"
"5","23","2"
"6","96","2"
"7","12","3"
"7","13","2"
"7","26","1"
"7","69","3"
"8","69","1"
"8","79","1"
"9","18","3"
"9","48","2"
"10","18","3"
"10","32","3"
"10","37","1"
"10","48","1"
"10","71","3"
"11","33","3"
"11","54","3"
"11","72","3"
"12","21","3"
"12","57","1"
"12","88","1"
"12","98","3"
"13","43","2"
"13","63","1"
"13","69","1"
"13","84","2"
"13","93","3"
"14","2","1"
"14","3","2"
"14","8","1"
"14","21","2"
"14","64","1"
"15","16","3"
"15","17","3"
"15","22","2"
"15","30","2"
"15","38","1"
"16","14","3"
"16","20","2"
"16","47","3"
"16","88","2"
"17","24","1"
"17","87","3"
"18","9","2"
"18","31","2"
"18","45","3"
"18","61","3"
"19","2","3"
"20","1","3"
"20","47","3"
"20","59","1"
"20","83","1"
"21","9","2"
"21","11","2"
"21","14","2"
"21","52","2"
"21","85","2"
"22","2","1"
"22","35","3"
"22","40","1"
"22","46","3"
"22","89","1"
"23","13","3"
"23","37","1"
"23","48","2"
"23","71","1"
"23","83","1"
"24","9","2"
"24","24","3"
"24","34","3"
"24","85","3"
"25","86","1"
"26","42","3"
"26","71","1"
"27","23","3"
"27","57","3"
"27","92","2"
"28","91","2"
"29","2","1"
"29","52","2"
"29","69","1"
"29","87","3"
"29","99","1"
"30","30","3"
"30","45","3"
"30","66","1"
"30","74","3"
"30","89","2"
"31","9","3"
"31","54","2"
"32","11","3"
"32","27","2"
"32","30","1"
"32","73","1"
"33","64","3"
"34","4","2"
"35","87","2"
"36","17","3"
"36","58","3"
"36","73","1"
"36","96","2"
"37","8","1"
"37","15","2"
"37","90","1"
"38","28","3"
"38","45","2"
"38","63","2"
"38","88","3"
"39","18","2"
"39","59","1"
"39","75","1"
"39","86","3"
"40","64","3"
"41","9","1"
"41","12","3"
"41","45","2"
"41","92","3"
"42","13","3"
"42","16","2"
"42","26","1"
"42","29","1"
"43","66","3"
"44","3","3"
"44","66","1"
"45","38","1"
"45","75","2"
"46","4","2"
"46","29","1"
"46","44","3"
"46","66","1"
"46","84","2"
"47","8","2"
"47","17","1"
"47","33","2"
"48","7","3"
"49","10","2"
"50","41","3"
"50","49","3"
"51","31","2"
"52","11","2"
"52","20","2"
"52","28","1"
"52","55","3"
"52","86","3"
"53","35","3"
"53","56","2"
"53","69","2"
"53","83","1"
"53","87","2"
"54","93","2"
"55","8","2"
"55","50","3"
"55","62","1"
"56","27","1"
"56","59","3"
"57","3","3"
"57","22","1"
"57","23","2"
"57","41","1"
"57","73","1"
"58","37","1"
"58","67","3"
"58","73","3"
"58","99","2"
"59","27","2"
"59","50","3"
"59","66","2"
"59","82","2"
"59","93","2"
"60","15","2"
"60","59","2"
"60","71","3"
